,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Date,Team
430,Nicolas Jackson,15.0,sn SEN,FW,23-108,80,0,0,0,0,1,1,0,0,26,1,0,1,0.5,0.5,0.0,3,0,14,16,87.5,1,13,3,2,2,2024-10-6,Chelsea
431,Christopher Nkunku,18.0,fr FRA,FW,26-327,10,0,0,0,0,1,1,0,0,9,0,0,1,0.5,0.5,0.0,0,0,3,5,60.0,0,3,0,0,0,2024-10-6,Chelsea
432,Jadon Sancho,19.0,eng ENG,LW,24-195,89,0,0,0,0,0,0,0,0,43,1,0,0,0.0,0.0,0.3,5,1,31,40,77.5,5,27,8,3,3,2024-10-6,Chelsea
433,Mykhailo Mudryk,10.0,ua UKR,LW,23-275,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.5,1,0,3,5,60.0,0,4,2,0,0,2024-10-6,Chelsea
434,Noni Madueke,11.0,eng ENG,RW,22-210,89,1,0,0,0,7,2,0,0,49,3,1,1,0.3,0.3,0.6,6,0,28,36,77.8,6,31,9,5,3,2024-10-6,Chelsea
435,Pedro Neto,7.0,pt POR,RW,24-211,1,0,0,0,0,0,0,1,0,11,0,0,0,0.0,0.0,0.2,2,0,8,10,80.0,0,8,1,1,0,2024-10-6,Chelsea
436,Cole Palmer,20.0,eng ENG,"AM,RM",22-153,90,0,1,0,0,6,2,1,0,76,1,0,0,0.7,0.7,0.6,11,1,50,66,75.8,16,44,7,1,1,2024-10-6,Chelsea
437,Enzo Fernández,8.0,ar ARG,DM,23-263,80,0,0,0,0,1,1,0,0,57,1,1,3,0.1,0.1,0.1,3,0,37,47,78.7,11,22,0,1,1,2024-10-6,Chelsea
438,João Félix,14.0,pt POR,LM,24-331,10,0,0,0,0,2,0,0,0,14,1,1,0,0.2,0.2,0.0,1,0,9,10,90.0,0,8,0,0,0,2024-10-6,Chelsea
439,Moisés Caicedo,25.0,ec ECU,"DM,CM",22-339,90,0,0,0,0,1,0,1,0,75,3,0,1,0.0,0.0,0.0,4,0,59,67,88.1,8,32,2,0,0,2024-10-6,Chelsea
440,Marc Cucurella,3.0,es ESP,LB,26-076,90,0,0,0,0,0,0,1,0,65,2,1,1,0.0,0.0,0.0,1,0,56,59,94.9,3,16,2,0,0,2024-10-6,Chelsea
441,Levi Colwill,6.0,eng ENG,CB,21-223,89,0,0,0,0,0,0,1,0,85,0,3,2,0.0,0.0,0.0,1,0,73,78,93.6,6,39,0,2,1,2024-10-6,Chelsea
442,Tosin Adarabioyo,4.0,eng ENG,CB,27-012,1,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,0,2,0,0,0,2024-10-6,Chelsea
443,Wesley Fofana,29.0,fr FRA,CB,23-294,90,0,0,0,0,0,0,1,0,86,1,1,1,0.0,0.0,0.0,0,0,66,76,86.8,2,45,3,0,0,2024-10-6,Chelsea
444,Malo Gusto,27.0,fr FRA,RB,21-140,90,0,0,0,0,3,1,0,0,98,0,0,3,0.1,0.1,0.0,2,0,75,89,84.3,11,38,2,1,0,2024-10-6,Chelsea
445,Robert Sánchez,1.0,es ESP,GK,26-323,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,1,0,23,29,79.3,0,19,0,0,0,2024-10-6,Chelsea
446,16 Players,,,,,990,1,1,0,0,22,8,6,0,741,14,8,14,2.5,2.5,2.3,41,2,543,641,84.7,69,351,39,16,11,2024-10-6,Chelsea
447,Nicolas Jackson,15.0,sn SEN,FW,23-129,77,1,0,0,0,1,1,0,0,20,0,0,0,0.6,0.6,0.2,4,0,12,17,70.6,2,16,2,2,1,2024-10-27,Chelsea
448,Christopher Nkunku,18.0,fr FRA,FW,26-348,13,0,0,0,0,2,0,1,0,6,0,0,0,0.1,0.1,0.0,3,0,2,2,100.0,1,4,2,1,1,2024-10-27,Chelsea
449,Pedro Neto,7.0,pt POR,"LW,RW",24-232,90,0,1,0,0,5,2,1,0,49,0,2,2,0.2,0.2,0.8,5,2,30,35,85.7,1,31,5,5,3,2024-10-27,Chelsea
450,Noni Madueke,11.0,eng ENG,RW,22-231,66,0,0,0,0,2,2,1,0,39,1,0,3,0.1,0.1,0.1,3,0,21,27,77.8,3,29,9,2,1,2024-10-27,Chelsea
451,Mykhailo Mudryk,10.0,ua UKR,LW,23-296,24,0,0,0,0,1,1,0,0,12,1,0,1,0.3,0.3,0.0,0,0,5,5,100.0,0,7,1,1,0,2024-10-27,Chelsea
452,Cole Palmer,20.0,eng ENG,AM,22-174,90,1,0,0,0,1,1,0,0,52,0,1,1,0.0,0.0,0.3,4,0,33,47,70.2,4,36,3,3,1,2024-10-27,Chelsea
453,Roméo Lavia,45.0,be BEL,DM,20-295,71,0,1,0,0,0,0,1,0,49,1,2,1,0.0,0.0,0.0,2,1,41,43,95.3,5,39,0,0,0,2024-10-27,Chelsea
454,Enzo Fernández,8.0,ar ARG,DM,23-284,19,0,0,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.1,1,0,8,10,80.0,0,9,0,0,0,2024-10-27,Chelsea
455,Moisés Caicedo,25.0,ec ECU,DM,22-360,90,0,0,0,0,1,0,0,0,69,4,6,1,0.1,0.1,0.1,3,0,49,53,92.5,7,36,0,1,0,2024-10-27,Chelsea
456,Reece James,24.0,eng ENG,"LB,RB",24-324,90,0,0,0,0,0,0,0,0,79,0,2,2,0.0,0.0,0.0,0,0,59,73,80.8,2,49,0,0,0,2024-10-27,Chelsea
457,Levi Colwill,6.0,eng ENG,CB,21-244,90,0,0,0,0,0,0,0,0,68,1,1,0,0.0,0.0,0.0,2,1,48,55,87.3,2,35,0,0,0,2024-10-27,Chelsea
458,Wesley Fofana,29.0,fr FRA,CB,23-315,90,0,0,0,0,0,0,1,0,61,0,1,3,0.0,0.0,0.0,1,0,38,42,90.5,1,35,0,1,0,2024-10-27,Chelsea
459,Malo Gusto,27.0,fr FRA,RB,21-161,77,0,0,0,0,4,0,0,0,52,2,1,1,0.3,0.3,0.0,1,0,35,41,85.4,5,36,0,1,0,2024-10-27,Chelsea
460,Marc Cucurella,3.0,es ESP,LB,26-097,13,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,2024-10-27,Chelsea
461,Robert Sánchez,1.0,es ESP,GK,26-344,90,0,0,0,0,0,0,1,0,44,0,0,0,0.0,0.0,0.0,0,0,21,42,50.0,0,34,0,0,0,2024-10-27,Chelsea
462,15 Players,,,,,990,2,2,0,0,17,7,6,0,618,12,16,15,1.6,1.6,1.5,29,4,404,495,81.6,33,399,22,17,7,2024-10-27,Chelsea
463,Nicolas Jackson,15.0,sn SEN,FW,23-164,70,1,0,0,0,3,2,0,0,28,1,0,0,0.4,0.4,0.0,1,0,13,17,76.5,1,14,1,3,1,2024-12-1,Chelsea
464,Christopher Nkunku,18.0,fr FRA,FW,27-017,20,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,7,8,87.5,1,7,0,0,0,2024-12-1,Chelsea
465,Jadon Sancho,19.0,eng ENG,LW,24-251,70,0,0,0,0,2,0,0,0,37,0,0,1,0.1,0.1,0.0,3,1,31,31,100.0,4,20,6,4,1,2024-12-1,Chelsea
466,Noni Madueke,11.0,eng ENG,RW,22-266,20,0,1,0,0,1,1,1,0,10,0,0,0,0.1,0.1,0.0,2,1,6,7,85.7,0,7,0,0,0,2024-12-1,Chelsea
467,Pedro Neto,7.0,pt POR,"RW,LW",24-267,90,0,0,0,0,1,0,0,0,38,0,0,0,0.0,0.0,0.0,1,0,21,32,65.6,0,23,6,5,3,2024-12-1,Chelsea
468,Cole Palmer,20.0,eng ENG,AM,22-209,85,1,1,0,0,5,3,0,0,38,1,0,1,0.5,0.5,0.1,4,1,28,31,90.3,4,22,4,0,0,2024-12-1,Chelsea
469,João Félix,14.0,pt POR,AM,25-021,5,0,0,0,0,2,1,1,0,7,0,0,0,0.3,0.3,0.0,1,0,5,5,100.0,0,6,2,0,0,2024-12-1,Chelsea
470,Enzo Fernández,8.0,ar ARG,DM,23-319,90,1,0,0,0,1,1,0,0,68,3,0,0,0.1,0.1,0.3,5,2,48,61,78.7,4,30,2,1,1,2024-12-1,Chelsea
471,Roméo Lavia,45.0,be BEL,DM,20-330,85,0,0,0,0,1,0,0,0,58,1,1,1,0.2,0.2,0.0,1,0,44,51,86.3,4,26,0,2,0,2024-12-1,Chelsea
472,Malo Gusto,27.0,fr FRA,RB,21-196,5,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,13,13,100.0,1,8,0,0,0,2024-12-1,Chelsea
473,Marc Cucurella,3.0,es ESP,LB,26-132,90,0,0,0,0,0,0,0,0,125,4,0,4,0.0,0.0,0.0,2,1,111,117,94.9,11,54,1,0,0,2024-12-1,Chelsea
474,Levi Colwill,6.0,eng ENG,CB,21-279,90,0,0,0,0,0,0,0,0,117,2,0,4,0.0,0.0,0.0,0,0,101,109,92.7,2,62,0,0,0,2024-12-1,Chelsea
475,Wesley Fofana,29.0,fr FRA,CB,23-350,59,0,0,0,0,0,0,0,0,56,2,0,0,0.0,0.0,0.0,1,0,50,52,96.2,1,36,0,1,1,2024-12-1,Chelsea
476,Benoît Badiashile,5.0,fr FRA,CB,23-250,31,0,0,0,0,0,0,0,0,21,1,0,1,0.0,0.0,0.0,0,0,17,17,100.0,0,8,0,0,0,2024-12-1,Chelsea
477,Moisés Caicedo,25.0,ec ECU,"RB,DM",23-029,90,0,0,0,0,0,0,0,0,73,2,2,1,0.0,0.0,0.2,4,0,58,68,85.3,7,40,2,1,1,2024-12-1,Chelsea
478,Robert Sánchez,1.0,es ESP,GK,27-013,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,26,37,70.3,0,25,0,0,0,2024-12-1,Chelsea
479,16 Players,,,,,990,3,2,0,0,17,8,2,0,737,17,3,13,1.7,1.7,0.8,26,6,579,656,88.3,40,388,24,17,8,2024-12-1,Chelsea
480,Nicolas Jackson,15.0,sn SEN,FW,23-178,82,1,0,0,0,7,2,0,0,32,3,0,0,1.1,1.1,0.0,4,0,9,17,52.9,0,19,1,3,1,2024-12-15,Chelsea
481,Christopher Nkunku,18.0,fr FRA,FW,27-031,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0,2024-12-15,Chelsea
482,Jadon Sancho,19.0,eng ENG,LW,24-265,90,0,0,0,0,1,0,0,0,65,0,0,0,0.0,0.0,0.8,6,0,49,57,86.0,6,51,9,5,2,2024-12-15,Chelsea
483,Noni Madueke,11.0,eng ENG,RW,22-280,90,0,1,0,0,7,2,0,0,52,0,0,1,0.5,0.5,0.1,3,1,32,37,86.5,4,38,10,3,1,2024-12-15,Chelsea
484,Cole Palmer,20.0,eng ENG,AM,22-223,90,0,0,0,0,4,1,0,0,60,1,0,1,0.2,0.2,0.3,9,0,39,49,79.6,9,35,2,2,1,2024-12-15,Chelsea
485,Enzo Fernández,8.0,ar ARG,DM,23-333,90,0,1,0,0,2,1,0,0,53,3,1,1,0.1,0.1,0.1,4,1,34,41,82.9,6,28,1,0,0,2024-12-15,Chelsea
486,Moisés Caicedo,25.0,ec ECU,DM,23-043,90,0,0,0,0,1,1,0,0,77,2,4,1,0.0,0.0,0.1,5,1,56,65,86.2,4,50,2,3,0,2024-12-15,Chelsea
487,Marc Cucurella,3.0,es ESP,LB,26-146,89,1,0,0,0,1,1,2,1,60,2,1,0,0.1,0.1,0.0,3,0,46,54,85.2,2,18,2,0,0,2024-12-15,Chelsea
488,Levi Colwill,6.0,eng ENG,CB,21-293,90,0,0,0,0,0,0,0,0,83,0,0,1,0.0,0.0,0.1,3,0,63,77,81.8,7,50,1,0,0,2024-12-15,Chelsea
489,Tosin Adarabioyo,4.0,eng ENG,CB,27-082,90,0,0,0,0,2,0,0,0,74,2,1,1,0.1,0.1,0.0,1,0,54,61,88.5,3,40,0,0,0,2024-12-15,Chelsea
490,Malo Gusto,27.0,fr FRA,RB,21-210,90,0,0,0,0,1,0,0,0,90,2,1,2,0.0,0.0,0.2,7,1,71,81,87.7,6,61,4,0,0,2024-12-15,Chelsea
491,Robert Sánchez,1.0,es ESP,GK,27-027,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,30,46,65.2,0,40,0,0,0,2024-12-15,Chelsea
492,12 Players,,,,,989,2,2,0,0,26,8,2,1,697,15,8,8,2.2,2.2,1.8,45,4,483,585,82.6,47,431,32,17,5,2024-12-15,Chelsea
493,Nicolas Jackson,15.0,sn SEN,FW,23-073,90,1,0,0,0,4,3,1,0,17,0,0,0,1.6,1.6,0.0,1,0,3,5,60.0,0,10,3,4,2,2024-9-1,Chelsea
494,Pedro Neto,7.0,pt POR,LW,24-176,57,0,0,0,0,0,0,1,0,20,0,0,0,0.0,0.0,0.0,2,0,13,18,72.2,1,15,4,3,1,2024-9-1,Chelsea
495,João Félix,14.0,pt POR,"LM,LW",24-296,33,0,0,0,0,1,1,0,0,20,0,0,0,0.0,0.0,0.0,2,0,12,13,92.3,2,10,1,5,2,2024-9-1,Chelsea
496,Noni Madueke,11.0,eng ENG,RW,22-175,85,0,0,0,0,3,1,0,0,37,2,0,1,0.5,0.5,0.0,2,1,24,27,88.9,5,19,5,4,2,2024-9-1,Chelsea
497,Christopher Nkunku,18.0,fr FRA,RW,26-292,5,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,10,12,83.3,2,5,1,0,0,2024-9-1,Chelsea
498,Cole Palmer,20.0,eng ENG,"AM,RM",22-118,90,0,1,0,0,2,1,1,0,57,0,1,0,0.1,0.1,1.2,8,1,36,47,76.6,5,32,1,3,1,2024-9-1,Chelsea
499,Enzo Fernández,8.0,ar ARG,"DM,CM",23-228,90,0,0,0,0,0,0,0,0,92,3,0,1,0.0,0.0,0.0,1,0,65,79,82.3,3,43,0,0,0,2024-9-1,Chelsea
500,Moisés Caicedo,25.0,ec ECU,"DM,RB",22-304,90,0,0,0,0,0,0,0,0,93,5,3,2,0.0,0.0,0.0,2,0,75,80,93.8,4,45,2,2,0,2024-9-1,Chelsea
501,Marc Cucurella,3.0,es ESP,LB,26-041,90,0,0,0,0,0,0,0,0,92,0,0,2,0.0,0.0,0.0,0,0,74,83,89.2,7,29,1,1,1,2024-9-1,Chelsea
502,Levi Colwill,6.0,eng ENG,CB,21-188,90,0,0,0,0,2,1,0,0,124,1,1,1,0.2,0.2,0.0,1,0,106,112,94.6,10,69,1,1,0,2024-9-1,Chelsea
503,Wesley Fofana,29.0,fr FRA,CB,23-259,90,0,0,0,0,0,0,1,0,87,1,2,4,0.0,0.0,0.3,3,0,64,68,94.1,6,45,1,2,1,2024-9-1,Chelsea
504,Malo Gusto,27.0,fr FRA,RB,21-105,73,0,0,0,0,1,0,0,0,45,1,1,1,0.0,0.0,0.0,0,0,34,38,89.5,2,23,1,0,0,2024-9-1,Chelsea
505,Mykhailo Mudryk,10.0,ua UKR,LW,23-240,17,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.5,2,0,5,10,50.0,3,6,2,2,1,2024-9-1,Chelsea
506,Robert Sánchez,1.0,es ESP,GK,26-288,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,32,36,88.9,0,27,0,0,0,2024-9-1,Chelsea
507,14 Players,,,,,990,1,1,0,0,13,7,4,0,749,13,8,13,2.4,2.4,2.0,25,2,553,628,88.1,50,378,23,27,11,2024-9-1,Chelsea
508,Nicolas Jackson,15.0,sn SEN,FW,23-122,90,1,0,0,0,2,1,1,0,18,0,0,1,0.3,0.3,0.0,0,0,7,11,63.6,2,7,1,2,1,2024-10-20,Chelsea
509,Jadon Sancho,19.0,eng ENG,LW,24-209,45,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,3,17,3,3,0,2024-10-20,Chelsea
510,Pedro Neto,7.0,pt POR,"LW,RW",24-225,45,0,0,0,0,1,0,0,0,29,0,0,0,0.0,0.0,0.2,5,0,20,25,80.0,1,21,2,2,0,2024-10-20,Chelsea
511,Noni Madueke,11.0,eng ENG,RW,22-224,75,0,0,0,0,1,1,0,0,33,1,0,0,0.0,0.0,0.1,1,0,23,25,92.0,0,28,8,5,2,2024-10-20,Chelsea
512,Christopher Nkunku,18.0,fr FRA,LW,26-341,15,0,0,0,0,1,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,7,7,100.0,1,9,0,2,0,2024-10-20,Chelsea
513,Cole Palmer,20.0,eng ENG,AM,22-167,90,0,0,0,0,4,0,0,0,43,0,0,1,0.4,0.4,0.1,4,0,25,30,83.3,3,27,2,5,1,2024-10-20,Chelsea
514,Roméo Lavia,45.0,be BEL,DM,20-288,52,0,0,0,0,0,0,0,0,30,2,2,2,0.0,0.0,0.0,0,0,21,22,95.5,0,18,1,3,3,2024-10-20,Chelsea
515,Enzo Fernández,8.0,ar ARG,DM,23-277,38,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,1,0,18,22,81.8,3,13,1,0,0,2024-10-20,Chelsea
516,Moisés Caicedo,25.0,ec ECU,DM,22-353,90,0,1,0,0,0,0,0,0,57,1,0,0,0.0,0.0,0.3,3,1,43,53,81.1,10,38,2,1,1,2024-10-20,Chelsea
517,Malo Gusto,27.0,fr FRA,"LB,RB",21-154,90,0,0,0,0,2,0,0,0,79,3,4,2,0.1,0.1,0.0,1,1,58,65,89.2,8,45,3,3,1,2024-10-20,Chelsea
518,Levi Colwill,6.0,eng ENG,CB,21-237,90,0,0,0,0,0,0,0,0,88,2,0,0,0.0,0.0,0.0,1,0,71,81,87.7,5,52,0,1,1,2024-10-20,Chelsea
519,Tosin Adarabioyo,4.0,eng ENG,CB,27-026,52,0,0,0,0,0,0,1,0,48,0,0,0,0.0,0.0,0.0,0,0,43,46,93.5,0,30,0,0,0,2024-10-20,Chelsea
520,Benoît Badiashile,5.0,fr FRA,CB,23-208,38,0,0,0,0,0,0,0,0,47,1,1,0,0.0,0.0,0.0,0,0,42,43,97.7,3,26,1,0,0,2024-10-20,Chelsea
521,Reece James,24.0,eng ENG,RB,24-317,52,0,0,0,0,0,0,0,0,60,1,1,0,0.0,0.0,0.0,2,0,45,55,81.8,2,32,0,0,0,2024-10-20,Chelsea
522,Renato Veiga,40.0,pt POR,LB,21-083,38,0,0,0,0,1,0,1,0,36,0,0,0,0.1,0.1,0.0,0,0,22,30,73.3,2,17,0,2,0,2024-10-20,Chelsea
523,Robert Sánchez,1.0,es ESP,GK,26-337,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,35,42,83.3,0,25,0,0,0,2024-10-20,Chelsea
524,16 Players,,,,,990,1,1,0,0,12,2,3,0,674,12,8,7,1.0,1.0,0.7,19,2,499,579,86.2,43,405,24,29,10,2024-10-20,Chelsea
525,Nicolas Jackson,15.0,sn SEN,FW,23-171,75,0,0,0,0,3,0,0,0,29,1,0,0,0.3,0.3,0.0,1,0,8,12,66.7,0,20,5,6,0,2024-12-8,Chelsea
526,Christopher Nkunku,18.0,fr FRA,FW,27-024,15,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,2024-12-8,Chelsea
527,Jadon Sancho,19.0,eng ENG,LW,24-258,90,1,0,0,0,3,2,0,0,63,0,0,0,0.4,0.4,0.0,8,2,48,56,85.7,6,46,8,4,3,2024-12-8,Chelsea
528,Pedro Neto,7.0,pt POR,RW,24-274,85,0,0,0,0,1,1,1,0,40,2,1,0,0.1,0.1,0.2,4,0,24,30,80.0,2,23,4,5,0,2024-12-8,Chelsea
529,Noni Madueke,11.0,eng ENG,RW,22-273,5,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,1,0,0,2024-12-8,Chelsea
530,Cole Palmer,20.0,eng ENG,AM,22-216,89,2,0,2,2,2,1,0,0,60,0,1,1,1.7,0.1,0.5,9,2,38,50,76.0,7,39,5,6,4,2024-12-8,Chelsea
531,João Félix,14.0,pt POR,AM,25-028,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,2024-12-8,Chelsea
532,Enzo Fernández,8.0,ar ARG,DM,23-326,90,1,0,0,0,3,1,0,0,71,2,2,3,0.1,0.1,0.0,1,0,50,57,87.7,10,38,1,1,1,2024-12-8,Chelsea
533,Roméo Lavia,45.0,be BEL,DM,20-337,45,0,0,0,0,0,0,1,0,35,3,3,1,0.0,0.0,0.1,3,1,29,29,100.0,2,20,0,2,1,2024-12-8,Chelsea
534,Malo Gusto,27.0,fr FRA,RB,21-203,45,0,0,0,0,1,1,0,0,40,1,1,0,0.0,0.0,0.0,1,0,34,37,91.9,1,25,0,0,0,2024-12-8,Chelsea
535,Marc Cucurella,3.0,es ESP,LB,26-139,89,0,1,0,0,1,0,0,0,66,2,0,2,0.0,0.0,0.3,4,1,54,58,93.1,5,34,1,1,0,2024-12-8,Chelsea
536,Renato Veiga,40.0,pt POR,LB,21-132,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,2024-12-8,Chelsea
537,Levi Colwill,6.0,eng ENG,CB,21-286,90,0,0,0,0,1,0,0,0,69,0,1,3,0.2,0.2,0.0,0,0,61,62,98.4,3,43,0,0,0,2024-12-8,Chelsea
538,Benoît Badiashile,5.0,fr FRA,CB,23-257,90,0,0,0,0,0,0,0,0,67,4,1,0,0.0,0.0,0.0,0,0,49,60,81.7,4,40,0,0,0,2024-12-8,Chelsea
539,Moisés Caicedo,25.0,ec ECU,"DM,RB",23-036,90,0,0,0,0,0,0,0,0,59,2,2,0,0.0,0.0,0.0,1,1,48,53,90.6,5,28,1,2,1,2024-12-8,Chelsea
540,Robert Sánchez,1.0,es ESP,GK,27-020,90,0,0,0,0,0,0,1,0,45,0,0,0,0.0,0.0,0.0,0,0,24,44,54.5,0,29,0,0,0,2024-12-8,Chelsea
541,16 Players,,,,,990,4,1,2,2,15,6,3,0,656,18,12,11,2.8,1.3,1.1,32,7,471,556,84.7,45,390,26,27,10,2024-12-8,Chelsea
542,Nicolas Jackson,15.0,sn SEN,FW,23-136,90,0,0,0,0,1,1,1,0,25,1,0,1,0.1,0.1,0.1,1,0,12,15,80.0,0,13,0,2,1,2024-11-3,Chelsea
543,Pedro Neto,7.0,pt POR,"LW,RW",24-239,90,0,0,0,0,2,1,0,0,40,2,0,1,0.1,0.1,0.0,2,1,21,26,80.8,2,29,6,6,2,2024-11-3,Chelsea
544,Noni Madueke,11.0,eng ENG,RW,22-238,69,0,0,0,0,2,0,0,0,31,1,0,1,0.5,0.5,0.0,2,0,16,22,72.7,6,15,1,3,1,2024-11-3,Chelsea
545,Mykhailo Mudryk,10.0,ua UKR,LW,23-303,21,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,7,0,1,0,2024-11-3,Chelsea
546,Cole Palmer,20.0,eng ENG,AM,22-181,90,0,0,0,0,3,0,0,0,49,1,0,0,0.2,0.2,0.6,6,0,30,42,71.4,3,33,4,6,4,2024-11-3,Chelsea
547,Roméo Lavia,45.0,be BEL,DM,20-302,69,0,0,0,0,0,0,0,0,47,4,0,1,0.0,0.0,0.0,1,0,31,38,81.6,3,23,1,3,3,2024-11-3,Chelsea
548,Enzo Fernández,8.0,ar ARG,DM,23-291,21,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0.0,1,1,10,15,66.7,1,8,1,0,0,2024-11-3,Chelsea
549,Moisés Caicedo,25.0,ec ECU,DM,23-001,90,1,0,0,0,1,1,0,0,54,3,1,1,0.0,0.0,0.1,2,0,37,44,84.1,6,30,0,3,2,2024-11-3,Chelsea
550,Reece James,24.0,eng ENG,"RB,LB",24-331,90,0,0,0,0,0,0,0,0,95,1,0,2,0.0,0.0,0.0,1,0,77,90,85.6,3,42,0,3,1,2024-11-3,Chelsea
551,Levi Colwill,6.0,eng ENG,CB,21-251,90,0,0,0,0,1,0,0,0,79,1,3,2,0.0,0.0,0.0,1,0,60,68,88.2,5,44,0,0,0,2024-11-3,Chelsea
552,Wesley Fofana,29.0,fr FRA,CB,23-322,90,0,0,0,0,0,0,0,0,71,3,2,2,0.0,0.0,0.0,1,0,49,58,84.5,1,42,0,1,1,2024-11-3,Chelsea
553,Malo Gusto,27.0,fr FRA,RB,21-168,45,0,0,0,0,0,0,1,0,39,0,1,0,0.0,0.0,0.0,1,0,22,34,64.7,5,23,1,0,0,2024-11-3,Chelsea
554,Marc Cucurella,3.0,es ESP,LB,26-104,45,0,0,0,0,1,0,0,0,24,2,0,1,0.0,0.0,0.0,2,0,17,20,85.0,3,9,2,1,0,2024-11-3,Chelsea
555,Robert Sánchez,1.0,es ESP,GK,26-351,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,27,34,79.4,0,22,0,0,0,2024-11-3,Chelsea
556,14 Players,,,,,990,1,0,0,0,12,3,2,0,616,20,7,12,1.1,1.1,0.9,21,2,414,512,80.9,38,340,16,29,15,2024-11-3,Chelsea
557,Taiwo Awoniyi,9.0,ng NGA,FW,27-103,62,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,6,9,66.7,0,7,0,1,0,2024-11-23,Nottingham Forest
558,Chris Wood,11.0,nz NZL,FW,32-352,28,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,5,8,62.5,0,4,1,0,0,2024-11-23,Nottingham Forest
559,Callum Hudson-Odoi,14.0,eng ENG,LW,24-016,90,0,0,0,0,1,0,0,0,30,2,0,0,0.0,0.0,0.0,1,0,20,25,80.0,3,19,6,2,2,2024-11-23,Nottingham Forest
560,Anthony Elanga,21.0,se SWE,RW,22-210,45,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,7,10,70.0,0,7,1,1,0,2024-11-23,Nottingham Forest
561,Jota Silva,20.0,pt POR,"AM,RW",25-114,45,0,0,0,0,1,0,0,0,16,0,1,0,0.1,0.1,0.0,1,0,5,8,62.5,1,12,0,3,0,2024-11-23,Nottingham Forest
562,Ryan Yates,22.0,eng ENG,"AM,DM",27-002,90,0,0,0,0,2,0,1,0,39,1,2,1,0.1,0.1,0.0,1,0,25,31,80.6,4,12,0,1,0,2024-11-23,Nottingham Forest
563,Nicolás Domínguez,16.0,ar ARG,DM,26-148,62,0,0,0,0,1,0,0,0,39,2,3,1,0.0,0.0,0.0,0,0,23,28,82.1,0,13,0,2,1,2024-11-23,Nottingham Forest
564,Ramón Sosa,24.0,py PAR,RW,25-084,28,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,2,0,4,6,66.7,0,7,0,1,1,2024-11-23,Nottingham Forest
565,James Ward-Prowse,18.0,eng ENG,DM,30-022,90,0,0,0,0,0,0,0,0,38,1,0,0,0.0,0.0,0.1,3,0,28,33,84.8,4,13,0,0,0,2024-11-23,Nottingham Forest
566,Álex Moreno,19.0,es ESP,LB,31-168,72,0,0,0,0,0,0,0,0,25,4,1,1,0.0,0.0,0.0,0,0,13,18,72.2,1,7,1,1,0,2024-11-23,Nottingham Forest
567,Neco Williams,7.0,wls WAL,LB,23-224,18,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,4,3,2,1,0,2024-11-23,Nottingham Forest
