,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Date,Team
30,Trent Alexander-Arnold,66.0,eng ENG,RB,25-323,71,0,0,0,0,2,0,0,0,71,2,0,1,0.1,0.1,0.6,6,0,46,62,74.2,8,40,3,2,2,2024-8-25,Liverpool
31,Conor Bradley,84.0,nir NIR,RB,21-047,19,0,0,0,0,0,0,0,0,23,0,1,0,0.0,0.0,0.0,0,0,20,21,95.2,1,18,1,0,0,2024-8-25,Liverpool
32,Alisson,1.0,br BRA,GK,31-328,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,29,37,78.4,0,29,0,0,0,2024-8-25,Liverpool
33,16 Players,,,,,990,2,2,0,0,19,8,2,0,741,17,7,14,2.7,2.7,2.5,35,3,571,638,89.5,59,514,25,16,8,2024-8-25,Liverpool
34,Darwin Núñez,9.0,uy URU,FW,25-153,89,0,0,0,0,2,1,0,0,22,1,0,1,0.1,0.1,0.1,1,0,10,16,62.5,3,11,2,1,0,2024-11-24,Liverpool
35,Wataru Endo,3.0,jp JPN,DM,31-289,1,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,2,1,0,1,1,2024-11-24,Liverpool
36,Cody Gakpo,18.0,nl NED,LW,25-201,61,0,0,0,0,3,1,1,0,44,0,1,0,0.1,0.1,0.1,5,0,29,37,78.4,4,39,1,3,2,2024-11-24,Liverpool
37,Luis Díaz,7.0,co COL,LW,27-316,29,0,0,0,0,3,1,0,0,22,1,0,0,0.1,0.1,0.1,4,0,12,16,75.0,3,13,3,0,0,2024-11-24,Liverpool
38,Mohamed Salah,11.0,eg EGY,RW,32-162,90,2,0,1,1,6,3,1,0,41,0,1,0,1.9,1.1,0.1,4,0,21,29,72.4,6,31,6,4,2,2024-11-24,Liverpool
39,Dominik Szoboszlai,8.0,hu HUN,"AM,FW",24-030,90,1,0,0,0,5,2,0,0,66,4,1,1,0.2,0.2,0.2,8,0,46,58,79.3,4,30,3,2,2,2024-11-24,Liverpool
40,Curtis Jones,17.0,eng ENG,DM,23-299,61,0,0,0,0,2,1,0,0,62,1,0,0,0.0,0.0,0.0,2,0,59,59,100.0,5,39,0,0,0,2024-11-24,Liverpool
41,Alexis Mac Allister,10.0,ar ARG,"DM,AM",25-336,29,0,0,0,0,1,0,0,0,22,3,0,1,0.0,0.0,0.1,5,0,12,16,75.0,2,7,0,0,0,2024-11-24,Liverpool
42,Ryan Gravenberch,38.0,nl NED,DM,22-192,90,0,1,0,0,1,0,0,0,91,1,2,0,0.4,0.4,0.7,4,1,78,84,92.9,7,65,4,3,2,2024-11-24,Liverpool
43,Andrew Robertson,26.0,sct SCO,LB,30-258,90,0,0,0,0,0,0,0,0,107,2,0,0,0.0,0.0,0.1,7,0,85,100,85.0,16,42,3,1,0,2024-11-24,Liverpool
44,Virgil van Dijk,4.0,nl NED,CB,33-139,90,0,0,0,0,0,0,0,0,96,0,2,0,0.0,0.0,0.0,2,0,80,89,89.9,6,53,0,0,0,2024-11-24,Liverpool
45,Ibrahima Konaté,5.0,fr FRA,CB,25-183,90,0,0,0,0,0,0,1,0,75,1,0,0,0.0,0.0,0.0,1,1,66,71,93.0,5,51,1,0,0,2024-11-24,Liverpool
46,Conor Bradley,84.0,nir NIR,RB,21-138,90,0,0,0,0,3,1,1,0,64,2,0,0,0.2,0.2,0.0,3,1,44,53,83.0,1,29,1,2,1,2024-11-24,Liverpool
47,Caoimhín Kelleher,62.0,ie IRL,GK,26-001,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,15,20,75.0,0,12,0,0,0,2024-11-24,Liverpool
48,14 Players,,,,,990,3,1,1,1,26,10,4,0,738,16,8,3,3.1,2.4,1.5,46,3,559,650,86.0,64,423,24,17,10,2024-11-24,Liverpool
49,Darwin Núñez,9.0,uy URU,FW,25-089,71,1,0,0,0,3,2,0,0,18,4,0,0,0.3,0.3,0.0,1,1,6,10,60.0,2,16,4,0,0,2024-9-21,Liverpool
50,Federico Chiesa,14.0,it ITA,FW,26-332,19,0,0,0,0,2,1,0,0,12,0,0,0,0.2,0.2,0.0,2,0,7,8,87.5,0,11,1,1,0,2024-9-21,Liverpool
51,Luis Díaz,7.0,co COL,LW,27-252,71,2,0,0,0,4,4,0,0,44,0,0,1,0.6,0.6,0.0,7,0,31,33,93.9,3,34,1,5,3,2024-9-21,Liverpool
52,Cody Gakpo,18.0,nl NED,LW,25-137,19,0,0,0,0,1,0,0,0,12,0,0,1,0.1,0.1,0.3,2,0,6,7,85.7,0,7,0,1,1,2024-9-21,Liverpool
53,Mohamed Salah,11.0,eg EGY,RW,32-098,90,0,1,0,0,4,3,0,0,37,0,0,0,0.6,0.6,0.5,12,2,20,25,80.0,4,39,4,7,5,2024-9-21,Liverpool
