,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Referee,Sh,SoT,Dist,FK,PK,PKatt,Team,Opp,Hour,Day,GF_rolling,GA_rolling,xG_rolling,xGA_rolling,Poss_rolling,Sh_rolling,SoT_rolling,Dist_rolling,FK_rolling,PK_rolling,PKatt_rolling
19,2024-09-21,15:00,1,1,3.0,1.0,19,1.7,0.5,53.0,20,9.0,3.0,13.7,1.0,0,0,1,19,15,5,1.6666666666666667,1.6666666666666667,1.5666666666666667,0.7333333333333334,51.666666666666664,12.666666666666666,5.0,15.966666666666663,0.0,0.0,0.0
20,2024-09-29,14:00,0,0,2.0,2.0,9,0.8,1.2,56.0,18,7.0,3.0,19.0,1.0,0,0,1,9,14,6,2.6666666666666665,1.3333333333333333,1.7333333333333334,0.6000000000000001,56.0,12.0,5.0,15.199999999999998,0.3333333333333333,0.0,0.0
21,2024-10-06,14:00,1,0,0.0,0.0,13,0.5,0.6,53.0,14,11.0,1.0,20.3,1.0,0,0,1,13,14,6,2.6666666666666665,1.6666666666666667,1.5333333333333334,0.8666666666666666,60.333333333333336,11.0,4.333333333333333,15.566666666666668,0.6666666666666666,0.0,0.0
22,2024-10-19,15:00,0,1,3.0,1.0,8,1.6,1.8,48.0,5,14.0,5.0,15.1,1.0,0,0,1,8,15,5,1.6666666666666667,1.0,1.0,0.7666666666666666,54.0,9.0,2.3333333333333335,17.666666666666668,1.0,0.0,0.0
23,2024-10-26,15:00,1,0,1.0,1.0,2,1.8,0.3,57.0,2,18.0,8.0,15.1,0.0,0,0,1,2,15,5,1.6666666666666667,1.0,0.9666666666666668,1.2,52.333333333333336,10.666666666666666,3.0,18.133333333333333,1.0,0.0,0.0
24,2024-11-03,14:00,0,0,1.0,4.0,17,1.8,2.4,49.0,3,12.0,1.0,16.2,0.0,0,0,1,17,14,6,1.3333333333333333,0.6666666666666666,1.3,0.8999999999999999,52.666666666666664,14.333333333333334,4.666666666666667,16.833333333333332,0.6666666666666666,0.0,0.0
25,2024-11-09,20:00,0,0,0.0,2.0,11,1.2,2.0,38.0,6,12.0,2.0,11.6,0.0,0,0,1,11,20,5,1.6666666666666667,2.0,1.7333333333333334,1.5,51.333333333333336,14.666666666666666,4.666666666666667,15.466666666666667,0.3333333333333333,0.0,0.0
26,2024-11-23,15:00,1,0,2.0,2.0,6,3.0,1.3,69.0,20,16.0,4.0,14.9,0.0,0,1,1,6,15,5,0.6666666666666666,2.3333333333333335,1.5999999999999999,1.5666666666666664,48.0,14.0,3.6666666666666665,14.299999999999999,0.0,0.0,0.0
27,2024-12-01,13:30,0,0,0.0,3.0,5,1.2,1.6,36.0,18,10.0,3.0,13.4,0.0,0,0,1,5,13,6,1.0,2.6666666666666665,2.0,1.9000000000000001,52.0,13.333333333333334,2.3333333333333335,14.233333333333334,0.0,0.0,0.3333333333333333
28,2024-12-04,20:15,1,1,3.0,1.0,3,2.4,0.9,49.0,10,19.0,9.0,15.0,0.0,1,1,1,3,20,2,0.6666666666666666,2.3333333333333335,1.8,1.6333333333333335,47.666666666666664,12.666666666666666,3.0,13.299999999999999,0.0,0.0,0.3333333333333333
